0 -- 1 --    teste    | Apr 15 19:27:21
0 -- 1 --    teste    | Apr 15 19:27:21
0 -- 1 --    k    | Apr 15 19:27:21
0 -- 1 --    l    | Apr 15 19:27:21
0 -- 1 --    l    | Apr 15 19:27:21
0 -- 1 --    1    | Apr 15 19:27:51
0 -- 1 --    2    | Apr 15 19:27:51
0 -- 1 --    3    | Apr 15 19:27:52
0 -- 1 --    4    | Apr 15 19:27:52
0 -- 1 --    5    | Apr 15 19:27:53
0 -- 1 --    k    | Apr 15 19:28:02
0 -- 1 --    l    | Apr 15 19:28:03
0 -- 1 --    sa    | Apr 15 19:28:04
0 -- 1 --    12    | Apr 15 19:28:04
0 -- 1 --    43    | Apr 15 19:28:05
0 -- 1 --    seila    | Apr 15 19:28:14
0 -- 1 --    teste    | Apr 15 19:28:16
0 -- 1 --    as    | Apr 15 19:28:17
0 -- 1 --    sa    | Apr 15 19:28:18
0 -- 1 --    sa    | Apr 15 19:28:18
0 -- 1 --    teste-interrupt1    | Apr 15 19:28:25
0 -- 1 --    teste-interrupt2    | Apr 15 19:28:29
